#,Código,Endereço,Bairro,Latitude,Longitude,Foto,Croqui
2323,CAM-071,"Rua Martim Afonso, 2955 - Campina do Siqueira",Campina do Siqueira,"-25,4367922","-49,3060595",Ver foto,ver croqui
2324,BIG-139,"Rua Martim Afonso, 2910 - Bigorrilho",Bigorrilho,"-25,4364918","-49,3052924",Ver foto,ver croqui
2325,BIG-140,"Rua Martim Afonso, 2888 - Bigorrilho",Bigorrilho,"-25,4360219","-49,3045039",Ver foto,ver croqui
2326,BAT-130,"Rua Jerônimo Durski, 1385 - Batel",Batel,"-25,436734","-49,3044717",Ver foto,ver croqui
2327,BIG-141,"Rua Jerônimo Durski, 1256 - Bigorrilho",Bigorrilho,"-25,4374122","-49,3034363",Ver foto,ver croqui
2328,CAM-072,"Alameda Júlia da Costa, 2862 - Campina do Siqueira",Campina do Siqueira,"-25,4373396","-49,3041176",Ver foto,ver croqui
2329,BIG-142,"Alameda Júlia da Costa, 2507 - Bigorrilho",Bigorrilho,"-25,4367437","-49,302621",Ver foto,ver croqui
2330,BIG-143,"Rua Gastão Câmara, 347 - Bigorrilho",Bigorrilho,"-25,4362787","-49,3024332",Ver foto,ver croqui
2331,SAO-098,"Rua Martim Afonso, 2700 - São Francisco",São Francisco,"-25,4355956","-49,3028999",Ver foto,ver croqui
2332,BIG-144,"Rua Martim Afonso, 2829 - Bigorrilho",Bigorrilho,"-25,4357894","-49,303431",Ver foto,ver croqui
2333,BIG-145,"Rua Padre Anchieta, 2535 - Bigorrilho",Bigorrilho,"-25,4347236","-49,3031842",Ver foto,ver croqui
2334,BIG-146,"Rua Martim Afonso, 2647 - Bigorrilho",Bigorrilho,"-25,4352613","-49,3020255",Ver foto,ver croqui
2335,BAT-131,"Rua Jerônimo Durski, 1562 - Batel",Batel,"-25,435707","-49,3057913",Ver foto,ver croqui
2336,BIG-147,"Rua Padre Anchieta, 2665 - Bigorrilho",Bigorrilho,"-25,435179","-49,3044127",Ver foto,ver croqui
2337,BIG-148,"Rua Padre Agostinho, 2777 - Bigorrilho",Bigorrilho,"-25,4340647","-49,305448",Ver foto,ver croqui
2338,BIG-149,"Rua Padre Agostinho, 2619 - Bigorrilho",Bigorrilho,"-25,433435","-49,3038387",Ver foto,ver croqui
2339,SAO-099,"Rua Padre Agostinho, 2545 - São Francisco",São Francisco,"-25,433028","-49,3027282",Ver foto,ver croqui
2340,BIG-150,"Rua Cel Joaquim Ignacio T Riba, 893 - Bigorrilho",Bigorrilho,"-25,4327276","-49,3015427",Ver foto,ver croqui
2341,BIG-151,"Rua Padre Agostinho, 2500 - Bigorrilho",Bigorrilho,"-25,4330232","-49,3032003",Ver foto,ver croqui
2342,CAM-073,"Rua Padre Agostinho, 3035 - Campina do Siqueira",Campina do Siqueira,"-25,4350918","-49,3080766",Ver foto,ver croqui
2343,MOS-001,"Rua Professor Pedro Viriato Parigot de Souza, 333 - Mossunguê",Mossunguê,"-25,4364269","-49,3110915",Ver foto,ver croqui
2344,CAM-074,"Rua Professor Pedro Viriato Parigot de Souza, 357 - Campina do Siqueira",Campina do Siqueira,"-25,437047","-49,3121108",Ver foto,ver croqui
